#名称,经度,纬度,高程(米),备注
JSGC020YS003A,120.8797416,31.38790035,0,
KSTC052WS025,120.8823346,31.43957793,0,
KSTC065YS012,120.9088145,31.43132427,0,
KSTC065WS002,120.9088556,31.43132428,0,
KSTC052YS205,120.8835396,31.43960112,0,
KSTC052WS033,120.8835398,31.43959436,0,
KSTC052YS206,120.8833465,31.43960002,0,
KSTC052WS032,120.8833144,31.43958926,0,
KSTC052YS207,120.8832817,31.43959906,0,
KSTC052WS032,120.8833144,31.43958926,0,
KSTC052YS223,120.8831544,31.43959732,0,
KSTC052WS031,120.8831564,31.43958688,0,
KSTC052YS283,120.8826199,31.43958743,0,
KSTC052WS026,120.8826202,31.43958008,0,
KSTC052YS287,120.8828018,31.43959289,0,
KSTC052WS029,120.8827641,31.43958072,0,
KSTC052YS302,120.8820874,31.43958144,0,
KSTC052YS307,120.8819605,31.43957979,0,
KSTC052YS302,120.8820874,31.43958144,0,
KSTC052WS024,120.8820873,31.43957353,0,
KSTC052YS309,120.8818351,31.43957617,0,
KSTC052WS023,120.8818352,31.43957161,0,
KSTC052YS323,120.8815456,31.43957542,0,
KSTC052WS019,120.8815317,31.43956537,0,
KSTC037YS123,120.8684886,31.45488618,0,
KSTC037WS025,120.8684498,31.45483519,0,
KSTC064YS101,120.8988731,31.44445601,0,
KSTC064WS018,120.8988756,31.44446621,0,
KSTC064YS102,120.8988293,31.44435205,0,
KSTC064WS019,120.8988265,31.4443441,0,
KSTC064YS103,120.8989836,31.4443083,0,
KSTC064WS020,120.8989808,31.44430101,0,
KSTC055YS001001,120.8768751,31.45540824,0,
KSTC028WS043,120.9096998,31.43224386,0,
KSTC028YS038,120.9097111,31.43224219,0,
KSTC037WS025,120.8684498,31.45483519,0,
KSTC037YS003,120.868463,31.45482149,0,
KSTC037YS097,120.8688952,31.45439787,0,
KSTC037WS029,120.869081,31.45411123,0,
KSTC037YS110,120.8691042,31.45412038,0,
KSTC051YS081,120.9021821,31.43339145,0,
KSTC064YS008,120.8995292,31.44525496,0,
KSTC064YS052,120.8990262,31.44414881,0,
KSTC064WS027,120.8984821,31.44430854,0,
KSTC064WS042,120.8984241,31.44416825,0,
KSTC064YS031001,120.8984758,31.44453399,0,
KSTC065YS001,120.9088048,31.4320942,0,
KSTC066WS043,120.8591999,31.44146962,0,
KSTC066YS011,120.8591722,31.44146915,0,
KSTC037WS013,120.8688551,31.45500399,0,
KSTC037YS073,120.8688561,31.4549862,0,
KSTC037WS028,120.8686663,31.45418846,0,
KSTC037YS111,120.8686558,31.45413179,0,
KSTC055WS007001,120.8768228,31.45587827,0,
KSTC055YS024001,120.8769527,31.45587839,0,
KSTC037WS054,120.8695758,31.45361966,0,
KSTC037YS055,120.8695745,31.45364094,0,
KSTC055YS024001,120.8769527,31.45587839,0,
KSTC028WS029,120.9097024,31.43173008,0,
KSTC028YS019,120.9097107,31.43171212,0,
KSTC028WS038,120.9095736,31.4322264,0,
KSTC028YS050,120.90958,31.43223613,0,
KSTC028WS040,120.9090817,31.43201566,0,
KSTC028YS032,120.9090771,31.43200881,0,
KSTC028WS041,120.9090862,31.43201593,0,
KSTC028YS032,120.9090771,31.43200881,0,
KSTC028WS045,120.9096891,31.43223014,0,
KSTC028YS038,120.9097111,31.43224219,0,
KSTC035WS055,120.9108451,31.4332015,0,
KSTC035YS003,120.9108453,31.43320691,0,
KSTC037WS032,120.868427,31.4552468,0,
KSTC037YS079,120.8684313,31.45527476,0,
KSTC037WS033,120.8685635,31.4552698,0,
KSTC037YS077,120.8685638,31.45529966,0,
KSTC037WS034,120.8685813,31.45527273,0,
KSTC037YS077,120.8685638,31.45529966,0,
KSTC037WS045,120.86933,31.45486786,0,
KSTC037YS063,120.8693163,31.45488285,0,
KSTC037WS046,120.8694359,31.45452827,0,
KSTC037YS061,120.8694466,31.45454161,0,
KSTC037WS049,120.8690344,31.45422178,0,
KSTC037YS101,120.869039,31.45420569,0,
KSTC053WS023,120.8687682,31.43687513,0,
KSTC053YS124,120.868758,31.43687058,0,
KSTC053WS024,120.8687233,31.43637409,0,
KSTC053YS097,120.8687034,31.43636547,0,
KSTC056WS164,120.8619934,31.46211624,0,
KSTC056YS048,120.8619873,31.46212261,0,
KSTC056WS170,120.861872,31.4623165,0,
KSTC056YS074,120.8618762,31.46230817,0,
KSTC064WS033,120.8996649,31.44563679,0,
KSTC064YS011,120.8996979,31.44564282,0,
KSTC064WS040,120.8992333,31.445757,0,
KSTC064YS079,120.8992276,31.44576515,0,
KSTC065WS012,120.9087936,31.43207223,0,
KSTC065YS002,120.9088052,31.43207235,0,
KSTC065WS013,120.9087994,31.43160602,0,
KSTC065YS010,120.9088126,31.43160635,0,
KSTC065WS017,120.9084581,31.43137527,0,
KSTC065YS014,120.9084591,31.43141296,0,
KSTC065WS023,120.9085407,31.43154646,0,
KSTC065YS015,120.9085265,31.4315464,0,
KSTC066WS038,120.8607057,31.4414399,0,
KSTC066YS019,120.8606951,31.4414446,0,
KSTC066WS041,120.859103,31.44126913,0,
KSTC066YS008,120.8590974,31.44125941,0,
KSTC066WS044,120.8587459,31.44138809,0,
KSTC066YS006,120.8587432,啊哈哈,0,
